"","title","cast","vote_average"
"36","Inception","Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page",8.1
"71","The Dark Knight","Christian Bale,Michael Caine,Heath Ledger",8.3
"4","Avatar","Sam Worthington,Zoe Saldana,Sigourney Weaver",7.2
"70","The Avengers","Robert Downey Jr.,Chris Evans,Mark Ruffalo",7.4
"14","Deadpool","Ryan Reynolds,Morena Baccarin,Ed Skrein",7.4
"39","Interstellar","Matthew McConaughey,Jessica Chastain,Anne Hathaway",8.1
"16","Django Unchained","Jamie Foxx,Christoph Waltz,Leonardo DiCaprio",7.8
"27","Guardians of the Galaxy","Chris Pratt,Zoe Saldana,Dave Bautista",7.9
"20","Fight Club","Edward Norton,Brad Pitt,Meat Loaf",8.3
"77","The Hunger Games","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth",6.9
"50","Mad Max: Fury Road","Tom Hardy,Charlize Theron,Nicholas Hoult",7.3
"72","The Dark Knight Rises","Christian Bale,Michael Caine,Gary Oldman",7.6
"88","The Matrix","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",7.9
"40","Iron Man","Robert Downey Jr.,Terrence Howard,Jeff Bridges",7.4
"42","Iron Man 3","Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle",6.8
"84","The Lord of the Rings: The Fellowship of the Ring","Elijah Wood,Ian McKellen,Cate Blanchett",8
"44","Jurassic World","Chris Pratt,Bryce Dallas Howard,Irrfan Khan",6.5
"58","Pulp Fiction","John Travolta,Samuel L. Jackson,Uma Thurman",8.3
"76","The Hobbit: An Unexpected Journey","Ian McKellen,Martin Freeman,Richard Armitage",7
"91","The Shawshank Redemption","Tim Robbins,Morgan Freeman,Bob Gunton",8.5
"85","The Lord of the Rings: The Return of the King","Elijah Wood,Ian McKellen,Viggo Mortensen",8.1
"22","Forrest Gump","Tom Hanks,Robin Wright,Gary Sinise",8.2
"67","Star Wars: The Force Awakens","Daisy Ridley,John Boyega,Adam Driver",7.5
"94","Titanic","Kate Winslet,Leonardo DiCaprio,Frances Fisher",7.5
"64","Skyfall","Daniel Craig,Judi Dench,Javier Bardem",6.9
"68","Suicide Squad","Will Smith,Margot Robbie,Joel Kinnaman",5.9
"86","The Lord of the Rings: The Two Towers","Elijah Wood,Ian McKellen,Viggo Mortensen",8
"7","Batman Begins","Christian Bale,Michael Caine,Liam Neeson",7.5
"11","Captain America: Civil War","Chris Evans,Robert Downey Jr.,Scarlett Johansson",7.1
"87","The Martian","Matt Damon,Jessica Chastain,Kristen Wiig",7.6
"56","Pirates of the Caribbean: The Curse of the Black Pearl","Johnny Depp,Geoffrey Rush,Orlando Bloom",7.5
"8","Batman v Superman: Dawn of Justice","Ben Affleck,Henry Cavill,Gal Gadot",5.7
"34","Harry Potter and the Philosophers Stone","Daniel Radcliffe,Rupert Grint,Emma Watson",7.5
"12","Captain America: The First Avenger","Chris Evans,Hugo Weaving,Tommy Lee Jones",6.6
"96","Up","Ed Asner,Christopher Plummer,Jordan Nagai",7.8
"41","Iron Man 2","Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle",6.6
"5","Avengers: Age of Ultron","Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo",7.3
"66","Star Wars"," Mark Hamill, Harrison Ford,Carrie Fisher",8.1
"92","The Wolf of Wall Street","Leonardo DiCaprio,Jonah Hill,Margot Robbie",7.9
"38","Inside Out","Amy Poehler,Phyllis Smith,Richard Kind",7.9
"69","The Amazing Spider-Man","Andrew Garfield,Emma Stone,Rhys Ifans",6.5
"93","Thor","Chris Hemsworth,Natalie Portman,Tom Hiddleston",6.6
"78","The Hunger Games: Catching Fire","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth",7.4
"37","Inglourious Basterds","Brad Pitt,Mélanie Laurent,Christoph Waltz",7.9
"15","Despicable Me","Steve Carell,Jason Segel,Russell Brand",7.1
"63","Shutter Island","Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley",7.8
"90","The Revenant","Leonardo DiCaprio,Tom Hardy,Will Poulter",7.3
"51","Man of Steel","Henry Cavill,Amy Adams,Michael Shannon",6.5
"97","WALL·E","Ben Burtt,Elissa Knight,Jeff Garlin",7.8
"75","The Hangover","Bradley Cooper,Ed Helms,Zach Galifianakis",7.2
"48","Logan","Hugh Jackman,Patrick Stewart,Dafne Keen",7.6
"21","Finding Nemo","Albert Brooks, Ellen DeGeneres,Alexander Gould",7.6
"10","Big Hero 6","Scott Adsit,Ryan Potter,Daniel Henney",7.8
"6","Back to the Future","Michael J. Fox,Christopher Lloyd,Lea Thompson",8
"99","X-Men: Days of Future Past","Hugh Jackman,James McAvoy,Michael Fassbender",7.5
"52","Monsters, Inc.","John Goodman,Billy Crystal,Mary Gibbs",7.5
"30","Harry Potter and the Deathly Hallows: Part 2","Daniel Radcliffe,Emma Watson,Rupert Grint",7.9
"46","Kingsman: The Secret Service","Colin Firth,Samuel L. Jackson,Mark Strong",7.6
"49","Lucy","Scarlett Johansson,Morgan Freeman,Choi Min-sik",6.3
"35","Harry Potter and the Prisoner of Azkaban","Daniel Radcliffe,Rupert Grint,Emma Watson",7.7
"2","Ant-Man","Paul Rudd,Michael Douglas,Evangeline Lilly",7
"74","The Godfather","Marlon Brando,Al Pacino,James Caan",8.5
"25","Gone Girl","Ben Affleck,Rosamund Pike,Carrie Coon",7.9
"73","The Empire Strikes Back","Mark Hamill,Harrison Ford,Carrie Fisher",8.2
"28","Harry Potter and the Chamber of Secrets","Daniel Radcliffe,Rupert Grint,Emma Watson",7.4
"61","Se7en","Brad Pitt,Morgan Freeman,Gwyneth Paltrow",8.1
"47","Life of Pi","Suraj Sharma,Irrfan Khan,Ayush Tandon",7.2
"80","The Imitation Game","Benedict Cumberbatch,Keira Knightley,Matthew Goode",8
"62","Sherlock Holmes","Robert Downey Jr.,Jude Law,Rachel McAdams",7
"13","Captain America: The Winter Soldier","Chris Evans,Samuel L. Jackson,Scarlett Johansson",7.6
"17","Doctor Strange","Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams",7.1
"26","Gravity","Sandra Bullock,George Clooney,Ed Harris",7.3
"79","The Hunger Games: Mockingjay - Part 1","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth",6.6
"31","Harry Potter and the Goblet of Fire","Daniel Radcliffe,Rupert Grint,Emma Watson",7.5
"3","Arrival","Amy Adams,Jeremy Renner,Forest Whitaker",7.2
"29","Harry Potter and the Deathly Hallows: Part 1","Daniel Radcliffe,Emma Watson,Rupert Grint",7.5
"98","World War Z","Brad Pitt,Mireille Enos,Abigail Hargrove",6.7
"53","Now You See Me","Jesse Eisenberg,Mark Ruffalo,Woody Harrelson",7.3
"33","Harry Potter and the Order of the Phoenix","Daniel Radcliffe,Rupert Grint,Emma Watson",7.4
"18","Fantastic Beasts and Where to Find Them","Eddie Redmayne,Colin Farrell,Katherine Waterston",7.2
"24","Gladiator","Russell Crowe,Joaquin Phoenix,Connie Nielsen",7.9
"89","The Maze Runner","Dylan OBrien,Ki Hong Lee,Kaya Scodelario",7
"9","Beauty and the Beast","Emma Watson,Dan Stevens,Luke Evans",6.8
"83","The Lion King","Jonathan Taylor Thomas,Matthew Broderick,James Earl Jones",8
"43","John Wick","Keanu Reeves,Michael Nyqvist,Alfie Allen",7
"23","Frozen","Kristen Bell,Idina Menzel,Jonathan Groff",7.3
"32","Harry Potter and the Half-Blood Prince","Daniel Radcliffe,Rupert Grint,Emma Watson",7.4
"95","Toy Story","Tom Hanks,Tim Allen,Don Rickles",7.7
"82","The Intouchables","François Cluzet,Omar Sy,Audrey Fleurot",8.2
"65","Spider-Man","Tobey Maguire,Willem Dafoe,Kirsten Dunst",6.8
"54","Pirates of the Caribbean: Dead Mans Chest","Johnny Depp,Orlando Bloom,Keira Knightley",7
"81","The Incredibles","Craig T. Nelson,Holly Hunter,Samuel L. Jackson",7.4
"19","Fast & Furious 6","Vin Diesel,Paul Walker,Dwayne Johnson",6.7
"100","X-Men: First Class","James McAvoy,Michael Fassbender,Jennifer Lawrence",7.1
"57","Prometheus","Noomi Rapace,Michael Fassbender,Guy Pearce",6.3
"60","Saving Private Ryan","Tom Hanks,Matt Damon,Vin Diesel",7.9
"59","Rogue One: A Star Wars Story","Felicity Jones,Diego Luna,Ben Mendelsohn",7.4
"1","300","Gerard Butler,Lena Headey,Dominic West",7
"45","Kill Bill: Vol. 1","Uma Thurman,Lucy Liu,Vivica A. Fox",7.7
"55","Pirates of the Caribbean: On Stranger Tides","Johnny Depp,Penélope Cruz,Ian McShane",6.4
